id,description,easting,northing
TK105F,Po Shun Road near Tseung Kwan O Swimming Pool,844972,819827
TK110F,Chui Ling Road near Po Shun Road,844372,818516
TK904F,Tseung Kwan O Tunnel - Tseung Kwan O Side,844296,820178
NL121F,North Lantau Highway near Sunny Bay,820149,820655
NL124F,North Lantau Highway near Siu Ho Wan,817086,819027
NL126F,North Lantau Highway near Pak Mong,814546,817693
NL128F,North Lantau Highway near Tung Chung,812639,816709
PB106F,Penny's Bay Highway,821740,820686
TC560F,Tsing Ma Bridge,825674,823558
TR103F,Tuen Mun Road - Yau Kom Tau Section,827366,825737
TR107F,Tuen Mun Road - Sham Tseng Section,825046,825201
TR111F,Tuen Mun Road - near Tsing Lung Tau,822317,825036
TR116F,Tuen Mun Road - Siu Lam Section,818125,825508
SM936F,Cheung Pei Shan Road,831216,826537
TC101F,Cheung Tsing Bridge,829564,823296
TC302F,Cheung Tsing Highway near Kam Chuk Kok,827593,822839
TW102F,Kwai Chung Road near Container Terminal,831675,822441
TW103F,Tsuen Wan Road near Tsuen Tsing Interchange,830393,824630
TW105F,Kwai Tsing Road near Tsing Yi Bridge,830749,824045
TW108F,Kwai Chung Road near Kwai Hing MTR Station,831610,824699
TW109F,Castle Peak Road near Wo Yi Hop Road,831993,825116
TW112F,Wo Yi Hop Road near Lei Shu Road,832091,825877
TW116F,Texaco Road Flyover near Sha Tsui Road,830553,825335
TW117F,Castle Peak Road near Texaco Road North,830770,825684
TW120F,Tsuen Wan Road near Tai Chung Road,829235,825713
TW121F,Tsing Kwai Highway/Cheung Tsing Tunnel,829296,823288
H421F,Aberdeen Tunnel - Aberdeen Side,836325,812440
K202F,Argyle Street near Yim Po Fong Street,835820,820088
K205F,Nathan Road near Lai Chi Kok Road,835420,820347
ST701F,Tolo Highway near Sha Tin Sewage Treatment Works,839872,830033
ST703F,Tai Po Road near MTR Racecourse Station,838936,828954
ST712F1,Tate's Cairn Highway near Shatin Hospital,839906,828893
ST714F,Tate's Cairn Highway near Tai Shek Kwu,839712,827856
ST715F,Sha Lek Highway near Prince Wales Hospital,838818,826517
ST721F,Shatin Road near Yuen Chau Kok Park,838811,827270
ST725F,Lion Rock Tunnel Road near Sun Tin Wai Estate,837361,825546
ST731F,Ma On Shan Bypass near Heng On Estate,841532,830528
ST732F,Ma On Shan Bypass near Yiu On Estate,842035,830893
SW109F,Yuen Long Highway near Hung Tin Road,818100,832003
SW111F,Yuen Long Highway near Tong Yan San Tsuen Interchange,819442,833173
SW112F,Yuen Long Highway near Shap Pat Heung,821421,832797
SW113F,Yuen Long Highway near Pok Oi Interchange,822114,833747
TI101F,Castle Peak Road near Hung Shui Kiu,818090,832902
TM101F,Wu Chui Road near Wu King Road,814526,826116
TM103F,Lung Mun Road near Tuen Mun Recreation and Sports Centre,814447,827250
TM118F,Pui To Road near Tuen Mun Park,815352,828319
TR704F,Tuen Mun Road near Tsing Yin Street,815621,828752
YL101F,Long Tin Road near Long Ping Road,819746,834085
YL106F,Castle Peak Road nearYuen Long,821368,833929
YL111F,Castle Peak Road near Pok Oi Interchange,821917,833889
BC702F,Castle Peak Road near Mai Po,824086,838533
TP113F,Fanling Highway near Hong Lok Yuen Road,833366,835885
FH706F,Fanling Highway near MTR Fanling Station,832352,839113
ST922F,Lion Rock Tunnel Road near Hung Mui Kuk Road,836845,825101
SW103F,Kong Sham Western Highway near Ha Tsuen,815876,834298
SW108F,Yuen Long Highway near Tan Kwai Tsuen,817746,831659
TL102F,Tai Lam Tunnel - Yuen Long Side,824319,830139
TL103F,Tai Lam Tunnel - Ting Kau Side,824981,826211
TS102F,Nam Wan Tunnel- Stonecutters Bridge side,829111,821664
TS104F,Tsing Sha Highway near Lai Chi Kok,832851,822646
TS105F,Sha Tin Heights Tunnel - Sha Tin Side,835713,825356
TW701F,Cheung Pei Shan Road near Mei Wan Street,829717,826375
H702F,Western Harbour Crossing Hong Kong Side,832629,816766
H703F,Connaught Road West,832480,816741
K901F,Western Harbour Crossing Kowloon Side,834394,818348
K931F,Tate's Cairn Tunnel Kowloon Side,839086,822485
K952F,Eastern Harbour Crossing Kowloon Side,842183,818178
ST942F,Tate's Cairn Tunnel Shatin Side,839632,826938
K121F,Canton Road near Salisbury Road,835512,817290
TL101F,Tsing Long Highway near Ko Po San Tsuen,823996,833151
TR706F,Tuen Mun Road near MTR Siu Hong Station,815928,830243
TS101F,Nam Wan Tunnel - Sai Tso Wan Side,827720,822707
